X,Y,xlo,ylo,fk_cat_especie,descripcion,perimetroestipite,alturaestipite,ObjectId
-5.970065292738078,37.392710188850728,237069.4,4142579,WFI,Washingtonia filifera,95,1.5,2001
-5.98398497110058,37.362633061104987,235731.2,4139280,PHD,Phoenix dactylifera,130,13.0,2002
-5.968508151005991,37.39143359179026,237202.8,4142433,WFI,Washingtonia filifera,213,5.0,2003
-5.984045317763424,37.362737232012641,235726.2,4139292,PHD,Phoenix dactylifera,100,9.0,2004
-5.966444007981877,37.391531391322602,237385.9,4142438,WFI,Washingtonia filifera,150,12.0,2005
-5.984140689201852,37.362893410854362,235718.3,4139309,PHD,Phoenix dactylifera,100,9.0,2006
-5.965072377298312,37.392265679046915,237509.9,4142516,WFI,Washingtonia filifera,110,8.0,2007
-5.98421198389163,37.363014605617778,235712.4,4139323,PHD,Phoenix dactylifera,120,15.0,2008
-5.984289800423983,37.363146538497674,235706,4139338,PHD,Phoenix dactylifera,NULL,NULL,2009
-5.965177109787039,37.392301165536722,237500.8,4142520,WFI,Washingtonia filifera,117,8.0,2010
-5.952190043540242,37.373488983408627,238585.4,4140396,PHD,Phoenix dactylifera,170,8.0,2011
-5.965124314943268,37.392282577049805,237505.4,4142518,WFI,Washingtonia filifera,124,8.0,2012
-5.966303066252267,37.372063732563298,237330.4,4140277,PHD,Phoenix dactylifera,144,9.0,2013
-5.968078609334904,37.39105422320894,237239.5,4142390,WFI,Washingtonia filifera,218,8.0,2014
-5.985268537579744,37.364783467985156,235625,4139522,PHD,Phoenix dactylifera,100,10.0,2015
-5.984977353248575,37.364295599413786,235649.1,4139467,PHD,Phoenix dactylifera,86,9.0,2016
-5.982149104870335,37.424583034031706,236111.3,4146150,WFI,Washingtonia filifera,140,4.5,2017
-5.982143094411945,37.424548314904122,236111.7,4146146,WFI,Washingtonia filifera,142,4.5,2018
-5.985048724252507,37.364415800505085,235643.2,4139481,PHD,Phoenix dactylifera,136,4.0,2019
-5.963975511571312,37.424594480754649,237719.9,4146101,WFI,Washingtonia filifera,204,4.0,2020
-5.959196254935675,37.381506236157286,237992.8,4141305,PHD,Phoenix dactylifera,117,5.0,2021
-5.963922758449994,37.424580396459561,237724.5,4146099,WFI,Washingtonia filifera,198,3.0,2022
-5.959278701414025,37.381460739899595,237985.3,4141301,PHD,Phoenix dactylifera,105,7.0,2023
-5.963946854702274,37.424535369488339,237722.2,4146094,WFI,Washingtonia filifera,200,4.0,2024
-5.964004483281536,37.424552755451138,237717.2,4146096,WFI,Washingtonia filifera,240,2.5,2025
-5.982181675381712,37.424598070237707,236108.5,4146152,WFI,Washingtonia filifera,163,4.5,2026
-5.963871255087113,37.372708643201712,237548.1,4140342,PHD,Phoenix dactylifera,250,7.0,2027
-5.968770796067941,37.399380221891199,237207.3,4143316,WFI,Washingtonia filifera,147,7.0,2028
-5.968776993963234,37.399422776487135,237206.9,4143321,WFI,Washingtonia filifera,142,7.0,2029
-5.964917308589868,37.372863515601736,237456,4140362,PHD,Phoenix dactylifera,30,0.5,2030
-5.968684867246828,37.399323541882445,237214.7,4143309,WFI,Washingtonia filifera,153,7.0,2031
-5.972008745624003,37.372210870605905,236825.6,4140310,PHD,Phoenix dactylifera,145,1.0,2032
-5.96906431167787,37.399179387448129,237180.6,4143294,WFI,Washingtonia filifera,103,6.0,2033
-5.967518967398648,37.370676289328685,237217.9,4140127,PHD,Phoenix dactylifera,110,9.0,2034
-5.969144346798233,37.399141153248479,237173.4,4143290,WFI,Washingtonia filifera,93,8.0,2035
-5.967992604624946,37.370278828157851,237174.5,4140084,PHD,Phoenix dactylifera,133,10.0,2036
-5.969142254834436,37.399071013083152,237173.3,4143282,WFI,Washingtonia filifera,96,8.0,2037
-5.96903562217061,37.39915073385329,237183.1,4143291,WFI,Washingtonia filifera,109,6.0,2038
-5.968168443510748,37.370131322354105,237158.5,4140068,PHD,Phoenix dactylifera,98,8.0,2039
-5.968595235724361,37.399390490487164,237222.9,4143316,WFI,Washingtonia filifera,198,1.5,2040
-5.968624938843639,37.399401908430107,237220.3,4143318,WFI,Washingtonia filifera,135,7.0,2041
-5.969017091456384,37.372417811479238,237091.3,4140324,PHD,Phoenix dactylifera,158,2.0,2042
-5.968616262318924,37.399370949705919,237221,4143314,WFI,Washingtonia filifera,129,7.0,2043
-5.977032371793255,37.352845965429921,236312.8,4138174,PHD,Phoenix dactylifera,75,3.0,2044
-5.981373872180692,37.432187336825933,236206.7,4146992,WFI,Washingtonia filifera,142,8.5,2045
-5.981039114507166,37.357661810303703,235974.7,4138720,PHD,Phoenix dactylifera,120,20.0,2046
-5.981549682123037,37.431942406651515,236190.2,4146965,WFI,Washingtonia filifera,244,6.0,2047
-5.980807488860489,37.357202793551494,235993.6,4138669,PHD,Phoenix dactylifera,120,4.0,2048
-5.98517327451886,37.347638095673247,235573.3,4137619,PHD,Phoenix dactylifera,103,6.0,2049
-5.97880349474526,37.427215290102168,236416.7,4146433,WFI,Washingtonia filifera,30,0.6,2050
-5.982288463597942,37.424570144244811,236098.9,4146149,WFI,Washingtonia filifera,148,4.5,2051
-5.982248771346916,37.424574930925715,236102.5,4146150,WFI,Washingtonia filifera,166,4.5,2052
-5.985207831934321,37.347612984226977,235570.1,4137617,PHD,Phoenix dactylifera,103,6.0,2053
-5.982215298151299,37.424574154223848,236105.4,4146149,WFI,Washingtonia filifera,171,4.5,2054
-5.986765424557285,37.354437396554665,235456.1,4138378,PHD,Phoenix dactylifera,180,5.0,2055
-5.982290268329598,37.424547301945019,236098.7,4146147,WFI,Washingtonia filifera,127,4.5,2056
-5.983104514923698,37.421528293284766,236016,4145814,WFI,Washingtonia filifera,160,2.5,2057
-5.980839783502263,37.356960673983352,235989.9,4138642,PHD,Phoenix dactylifera,120,20.0,2058
-5.983145967629456,37.421493907221532,236012.2,4145810,WFI,Washingtonia filifera,169,2.5,2059
-5.980832709605798,37.357047174366443,235990.8,4138651,PHD,Phoenix dactylifera,120,20.0,2060
-6.01366458009364,37.37241469949447,233136.7,4140449,WFI,Washingtonia filifera,117,16.0,2061
-6.013657569856372,37.372470833829517,233137.5,4140455,WFI,Washingtonia filifera,156,6.0,2062
-5.980806465327341,37.357134158265275,235993.5,4138661,PHD,Phoenix dactylifera,120,20.0,2063
-5.994397397094435,37.374664110142405,234851.2,4140645,WFI,Washingtonia filifera,118,12.0,2064
-5.972695962476318,37.420445349054816,236933.5,4145665,PHD,Phoenix dactylifera,104,5.0,2065
-5.994328506459106,37.374672163322543,234857.3,4140645,WFI,Washingtonia filifera,113,12.0,2066
-5.971858106510458,37.423717634532949,237019.2,4146025,PHD,Phoenix dactylifera,133,6.0,2067
-5.994334646967084,37.374627855804263,234856.6,4140640,WFI,Washingtonia filifera,116,12.0,2068
-5.971155557857941,37.423425255467059,237080.3,4145991,PHD,Phoenix dactylifera,121,6.0,2069
-5.994299242934033,37.374631906675134,234859.8,4140641,WFI,Washingtonia filifera,124,12.0,2070
-5.994398736109324,37.374646685762947,234851,4140643,WFI,Washingtonia filifera,123,12.0,2071
-5.994325711544241,37.374650158191535,234857.5,4140643,WFI,Washingtonia filifera,118,12.0,2072
-6.008845809270746,37.373639942616201,233567.9,4140572,WFI,Washingtonia filifera,137,20.0,2073
-5.9945324319953,37.374329278439944,234838.1,4140608,WFI,Washingtonia filifera,118,12.0,2074
-5.994499131811249,37.374337961560649,234841,4140609,WFI,Washingtonia filifera,119,12.0,2075
-5.985739228863292,37.354444764063452,235547,4138376,WFI,Washingtonia filifera,130,NULL,2076
-5.985725351207374,37.354422137535309,235548.2,4138374,WFI,Washingtonia filifera,130,NULL,2077
-5.985711282289952,37.354397533497256,235549.3,4138371,WFI,Washingtonia filifera,130,NULL,2078
-5.98567005625837,37.354411099763723,235553,4138372,WFI,Washingtonia filifera,130,NULL,2079
-5.985689230158072,37.354433502394869,235551.4,4138375,WFI,Washingtonia filifera,130,NULL,2080
-5.985706060332489,37.354462271676894,235550,4138378,WFI,Washingtonia filifera,130,NULL,2081
-6.001703004519644,37.41164504880971,234334.8,4144769,WFI,Washingtonia filifera,30,2.0,2082
-5.981336910244141,37.412061360310432,236139.2,4144758,WFI,Washingtonia filifera,111,13.0,2083
-5.981287740825532,37.412071972316262,236143.6,4144759,WFI,Washingtonia filifera,112,13.0,2084
-5.981244713076683,37.412086484055543,236147.5,4144761,WFI,Washingtonia filifera,102,11.0,2085
-5.981210188632624,37.411936608378845,236150,4144744,WFI,Washingtonia filifera,135,8.0,2086
-6.002325764324488,37.409334868395518,234271.5,4144515,WFI,Washingtonia filifera,33,2.0,2087
-6.001996420108048,37.410707524472571,234305.5,4144666,WFI,Washingtonia filifera,151,6.0,2088
-6.002193374109499,37.409829668040501,234285,4144569,WFI,Washingtonia filifera,73,2.0,2089
-5.985118348449778,37.407633753689737,235788.9,4144277,WFI,Washingtonia filifera,140,11.0,2090
-5.985033750494548,37.407619672454295,235796.3,4144276,WFI,Washingtonia filifera,150,11.0,2091
-5.982842542712218,37.407358121313855,235989.4,4144241,WFI,Washingtonia filifera,107,12.0,2092
-5.984409852406556,37.40918895040928,235857.1,4144448,WFI,Washingtonia filifera,125,11.0,2093
-5.984540868934214,37.409219880412032,235845.6,4144452,WFI,Washingtonia filifera,147,11.0,2094
-6.009484122084896,37.406469103616828,233627.7,4144217,WFI,Washingtonia filifera,108,2.0,2095
-6.009412927036845,37.406456951108737,233633.9,4144215,WFI,Washingtonia filifera,98,3.0,2096
-6.009498280578123,37.406416481849604,233626.2,4144211,WFI,Washingtonia filifera,120,5.0,2097
