"ABUNDANCE","BIOMASS","GENUS_SPECIES","SAMPLE_DESC","PLOT","LATITUDE","LONGITUDE","DAY","MONTH","YEAR"
"1","0","Appias albina","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"1","0","Argyreus hyperbius","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"2","0","Ariadne ariadne","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"1","0","Astictopterus jama","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"6","0","Cethosia biblis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"1","0","Cyrestis thyodamas","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"1","0","Danaus genutia","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"5","0","Euploea mulciber","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"1","0","Eurema hecabe","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"1","0","Graphium sarpedon","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"1","0","Hypolimnas bolina","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"1","0","Jamides alecto","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"1","0","Junonia almana","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"1","0","Lethe confusa","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"3","0","Lethe syrcis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"1","0","Neptis clinia","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"1","0","Neptis namba","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"1","0","Papilio helenus","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"1","0","Papilio paris","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"1","0","Parantica melaneus","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"1","0","Parantica sita","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"3","0","Parnara sp","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"3","0","Pieris canidia","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"5","0","Prioneris thestylis","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"2","0","Pseudozizeeria maha","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"3","0","Ragadia crisilda","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
"2","0","Vindula erota","21.0833_105.1_T1_2003","T1","21.083300","105.100000","15","10","2003"
