plot,species,abundance,day,month,year,habitat,hab_type
T1,Appias albina,1,15,10,2003,agriculture,open
T1,Argyreus hyperbius,1,15,10,2003,agriculture,open
T1,Ariadne ariadne,2,15,10,2003,agriculture,open
T1,Astictopterus jama,1,15,10,2003,agriculture,open
T1,Cethosia biblis,6,15,10,2003,agriculture,open
T1,Cyrestis thyodamas,1,15,10,2003,agriculture,open
T1,Danaus genutia,1,15,10,2003,agriculture,open
T1,Euploea mulciber,5,15,10,2003,agriculture,open
T1,Eurema hecabe,1,15,10,2003,agriculture,open
T1,Graphium sarpedon,1,15,10,2003,agriculture,open
T1,Hypolimnas bolina,1,15,10,2003,agriculture,open
T1,Jamides alecto,1,15,10,2003,agriculture,open
T1,Junonia almana,1,15,10,2003,agriculture,open
T1,Lethe confusa,1,15,10,2003,agriculture,open
T1,Lethe syrcis,3,15,10,2003,agriculture,open
T1,Neptis clinia,1,15,10,2003,agriculture,open
T1,Neptis namba,1,15,10,2003,agriculture,open
T1,Papilio helenus,1,15,10,2003,agriculture,open
T1,Papilio paris,1,15,10,2003,agriculture,open
T1,Parantica melaneus,1,15,10,2003,agriculture,open
T1,Parantica sita,1,15,10,2003,agriculture,open
T1,Parnara sp,3,15,10,2003,agriculture,open
T1,Pieris canidia,3,15,10,2003,agriculture,open
T1,Prioneris thestylis,5,15,10,2003,agriculture,open
T1,Pseudozizeeria maha,2,15,10,2003,agriculture,open
T1,Ragadia crisilda,3,15,10,2003,agriculture,open
T1,Vindula erota,2,15,10,2003,agriculture,open
T1,Ypthima baldus,6,15,10,2003,agriculture,open
T1,Ypthima imitans,1,15,10,2003,agriculture,open
T1,Zemeros flegyas,1,15,10,2003,agriculture,open
T1,Appias albina,6,16,10,2003,agriculture,open
T1,Ariadne ariadne,2,16,10,2003,agriculture,open
T1,Athyma asura,6,16,10,2003,agriculture,open
T1,Cethosia biblis,10,16,10,2003,agriculture,open
T1,Cirrochroa tyche,1,16,10,2003,agriculture,open
T1,Danaus genutia,3,16,10,2003,agriculture,open
T1,Euploea mulciber,8,16,10,2003,agriculture,open
T1,Eurema blanda,1,16,10,2003,agriculture,open
T1,Eurema hecabe,2,16,10,2003,agriculture,open
T1,Euripus nyctelius,1,16,10,2003,agriculture,open
T1,Graphium agamemnon,1,16,10,2003,agriculture,open
T1,Graphium sarpedon,1,16,10,2003,agriculture,open
T1,Ideopsis similis,1,16,10,2003,agriculture,open
T1,Jamides bochus,1,16,10,2003,agriculture,open
T1,Lamproptera curius,2,16,10,2003,agriculture,open
T1,Lethe syrcis,4,16,10,2003,agriculture,open
T1,Neptis namba,1,16,10,2003,agriculture,open
T1,Papilio helenus,1,16,10,2003,agriculture,open
T1,Papilio paris,2,16,10,2003,agriculture,open
T1,Parantica sita,1,16,10,2003,agriculture,open
T1,Parnara sp,2,16,10,2003,agriculture,open
T1,Pieris canidia,9,16,10,2003,agriculture,open
T1,Prioneris thestylis,4,16,10,2003,agriculture,open
T1,Ragadia crisilda,5,16,10,2003,agriculture,open
T1,Stibochiona nicea,1,16,10,2003,agriculture,open
T1,Vindula erota,2,16,10,2003,agriculture,open
T1,Ypthima baldus,5,16,10,2003,agriculture,open
T1,Ypthima imitans,1,16,10,2003,agriculture,open
T1,Zemeros flegyas,1,16,10,2003,agriculture,open
T1,Appias albina,8,17,10,2003,agriculture,open
T1,Appias lyncida,4,17,10,2003,agriculture,open
T1,Argyreus hyperbius,10,17,10,2003,agriculture,open
T1,Ariadne ariadne,4,17,10,2003,agriculture,open
T1,Catopsilia pomona,1,17,10,2003,agriculture,open
T1,Cepora nadina,3,17,10,2003,agriculture,open
T1,Cethosia biblis,10,17,10,2003,agriculture,open
T1,Danaus genutia,4,17,10,2003,agriculture,open
T1,Euploea mulciber,13,17,10,2003,agriculture,open
T1,Eurema blanda,2,17,10,2003,agriculture,open
T1,Eurema hecabe,6,17,10,2003,agriculture,open
T1,Graphium sarpedon,3,17,10,2003,agriculture,open
T1,Hebomoia glaucippe,1,17,10,2003,agriculture,open
T1,Ideopsis similis,4,17,10,2003,agriculture,open
T1,Jamides alecto,3,17,10,2003,agriculture,open
T1,Jamides bochus,4,17,10,2003,agriculture,open
T1,Lampides boeticus,1,17,10,2003,agriculture,open
T1,Lamproptera curius,1,17,10,2003,agriculture,open
T1,Lethe confusa,1,17,10,2003,agriculture,open
T1,Lethe syrcis,7,17,10,2003,agriculture,open
T1,Melanitis leda,1,17,10,2003,agriculture,open
T1,Mooreana trichoneura,1,17,10,2003,agriculture,open
T1,Papilio helenus,3,17,10,2003,agriculture,open
T1,Parantica sita,1,17,10,2003,agriculture,open
T1,Parnara bada,1,17,10,2003,agriculture,open
T1,Parnara sp,1,17,10,2003,agriculture,open
T1,Parthenos sylvia,3,17,10,2003,agriculture,open
T1,Pelopidas agna,1,17,10,2003,agriculture,open
T1,Pieris canidia,10,17,10,2003,agriculture,open
T1,Prioneris thestylis,3,17,10,2003,agriculture,open
T1,Symbrenthia hypselis,3,17,10,2003,agriculture,open
T1,Tagiades litigiosa,1,17,10,2003,agriculture,open
T1,Tirumala septentrionis,1,17,10,2003,agriculture,open
T1,Troides aeacus,1,17,10,2003,agriculture,open
T1,Vanessa cardui,1,17,10,2003,agriculture,open
T1,Vindula erota,5,17,10,2003,agriculture,open
T1,Ypthima baldus,12,17,10,2003,agriculture,open
T1,Ypthima imitans,4,17,10,2003,agriculture,open
T1,Zemeros flegyas,3,17,10,2003,agriculture,open
T1,Cethosia biblis,3,17,7,2003,agriculture,open
T1,Eulacera osteria,1,17,7,2003,agriculture,open
T1,Euploea mulciber,3,17,7,2003,agriculture,open
T1,Hebomoia glaucippe,1,17,7,2003,agriculture,open
T1,Lethe verma,1,17,7,2003,agriculture,open
T1,Pseudozizeeria maha,2,17,7,2003,agriculture,open
T1,Ypthima baldus,2,17,7,2003,agriculture,open
T1,Argyreus hyperbius,1,17,8,2003,agriculture,open
T1,Astictopterus jama,2,17,8,2003,agriculture,open
T1,Cethosia biblis,1,17,8,2003,agriculture,open
T1,Hebomoia glaucippe,3,17,8,2003,agriculture,open
T1,Hypolimnas bolina,1,17,8,2003,agriculture,open
T1,Lethe vindhya,1,17,8,2003,agriculture,open
T1,Papilio memnon,2,17,8,2003,agriculture,open
T1,Papilio paris,2,17,8,2003,agriculture,open
T1,Pelopidas agna,2,17,8,2003,agriculture,open
T1,Prioneris thestylis,2,17,8,2003,agriculture,open
T1,Pseudozizeeria maha,2,17,8,2003,agriculture,open
T1,Tirumala septentrionis,1,17,8,2003,agriculture,open
T1,Vindula erota,1,17,8,2003,agriculture,open
T1,Appias lyncida,1,19,7,2003,agriculture,open
T1,Argyreus hyperbius,1,19,7,2003,agriculture,open
T1,Ariadne ariadne,1,19,7,2003,agriculture,open
T1,Cethosia biblis,1,19,7,2003,agriculture,open
T1,Euploea mulciber,1,19,7,2003,agriculture,open
T1,Heliophorus ila,1,19,7,2003,agriculture,open
T1,Mycalesis inopia,1,19,7,2003,agriculture,open
T1,Notocrypta curvifascia,1,19,7,2003,agriculture,open
T1,Papilio helenus,2,19,7,2003,agriculture,open
T1,Papilio memnon,3,19,7,2003,agriculture,open
T1,Penthema darlisa,1,19,7,2003,agriculture,open
T1,Pseudozizeeria maha,6,19,7,2003,agriculture,open
T1,Ragadia crisilda,1,19,7,2003,agriculture,open
T1,Vindula erota,1,19,7,2003,agriculture,open
T1,Ypthima baldus,11,19,7,2003,agriculture,open
T1,Zemeros flegyas,1,19,7,2003,agriculture,open
T1,Abisara fylla,1,19,8,2003,agriculture,open
