plot,habitat,hab_type,date,n_species,abundance
T1,agriculture,open,2003-06-26,17,26
T1,agriculture,open,2003-07-17,7,13
T1,agriculture,open,2003-07-19,16,34
T1,agriculture,open,2003-07-20,11,39
T1,agriculture,open,2003-07-21,11,14
T1,agriculture,open,2003-08-17,13,21
T1,agriculture,open,2003-08-19,16,26
T1,agriculture,open,2003-08-20,10,15
T1,agriculture,open,2003-10-15,30,59
T1,agriculture,open,2003-10-16,29,85
T1,agriculture,open,2003-10-17,39,146
T1,agriculture,open,2004-05-15,17,29
T1,agriculture,open,2004-05-18,9,37
T1,agriculture,open,2004-05-20,11,30
T1,agriculture,open,2004-05-21,16,34
T1,agriculture,open,2004-06-18,24,35
T1,agriculture,open,2004-06-19,13,31
T1,agriculture,open,2004-06-20,15,27
T1,agriculture,open,2004-06-21,18,37
T1,agriculture,open,2004-07-17,26,80
T1,agriculture,open,2004-07-18,26,128
T1,agriculture,open,2004-08-18,13,28
T1,agriculture,open,2004-08-19,20,31
T1,agriculture,open,2004-08-20,19,56
T1,agriculture,open,2004-09-17,29,103
T1,agriculture,open,2004-09-19,26,92
T1,agriculture,open,2004-10-11,7,49
T1,agriculture,open,2004-10-12,28,101
T1,agriculture,open,2004-10-13,25,62
T1,agriculture,open,2004-10-14,20,42
T1,agriculture,open,2005-06-17,28,64
T1,agriculture,open,2005-06-18,9,27
T1,agriculture,open,2005-06-20,6,7
T1,agriculture,open,2005-07-16,15,24
T1,agriculture,open,2005-07-17,12,17
T1,agriculture,open,2005-07-19,6,9
T1,agriculture,open,2005-07-20,10,14
T1,agriculture,open,2005-08-17,13,18
T1,agriculture,open,2005-08-18,14,21
T1,agriculture,open,2005-08-19,8,14
T1,agriculture,open,2005-08-20,5,8
T1,agriculture,open,2005-08-21,11,17
T1,agriculture,open,2005-09-17,8,8
T1,agriculture,open,2005-09-20,8,11
T1,agriculture,open,2005-09-21,12,27
T1,agriculture,open,2005-10-09,4,5
T1,agriculture,open,2005-10-11,14,33
