Municipio,x,y
Algeciras,276772.880910774,3998762.44634212
Barbate,239366.524366865,4010177.13489689
Tarifa,258516.552420027,4001257.86500777
San Roque,288722.322658399,4015075.96921904
Barrios (Los),270114.370968422,4011509.50570444
Conil de la Frontera,223644.713403492,4022788.46249246
Castellar de la Frontera,278490.957977047,4021401.44900943
Benalup-Casas Viejas,250661.49898209,4024367.49714196
Manilva,296867.86256573,4025568.21068551
Vejer de la Frontera,235622.657825283,4019293.96513957
Chiclana de la Frontera,221089.488063472,4032790.27981094
Casares,296062.264396433,4034387.87671267
San Fernando,212715.589005259,4038992.68192101
Estepona,308019.242547642,4037850.71573717
Jimena de la Frontera,279789.356707689,4034115.30278823
Marbella,331938.992605142,4042678.37903977
Medina Sidonia,243030.769043122,4031534.71427491
Paterna de Rivera,244335.2698,4045799.54073333
Gaucín,289696.309268853,4041976.87071576
Genalguacil,300798.598015949,4044552.56164945
Alcalá de los Gazules,258427.778000677,4036681.58806412
Cádiz (capital),208213.809057575,4042118.97897739
Benarrabá,294053.092885554,4047317.8726118
Fuengirola,355491.972120465,4046890.96558704
Algatocín,295147.48377989,4050232.7205292
Jubrique,302752.573951501,4048493.38138635
Ojén,335578.166026824,4048401.38379545
Benalauría,294408.55084001,4051813.2733136
Benalmádena,360335.82718486,4051226.84240171
Mijas,349290.484458742,4047447.52034088
Puerto Real,221279.594456428,4046675.93542111
Pujerra,309452.505713764,4051153.07052086
Benadalid,296721.52415005,4054489.11879789
Benahavís,316651.455920825,4046400.66697528
Torremolinos,364302.88571818,4054427.76579326
Faraján,303519.660354984,4053328.51056295
Monda,334261.353860345,4055272.79547782
Istán,324474.849660417,4052536.25643227
Igualeja,312611.378962951,4055060.08401822
Atajate,298965.642566667,4057541.32876667
Júzcar,306589.301198624,4051956.82888423
Cortes de la Frontera,282295.264355923,4050449.17801789
Jimera de Líbar,296138.494329357,4059061.05057931
Cartajima,307311.903617421,4059271.98677519
Parauta,314009.153455763,4059904.72710869
Alhaurín el Grande,349441.414463979,4057539.35878533
Algar,263652.064012576,4060153.57947857
San José del Valle,254403.606788705,4055869.76938401
Alpandeire,301707.965315506,4058846.96408794
Guaro,335727.260674431,4060234.51789113
Ubrique,279769.946382966,4059836.62636984
Alhaurín de la Torre,358472.749326132,4058437.65224613
Tolox,326675.731395608,4060831.21630569
Villaluenga del Rosario,288453.415309294,4062577.22945432
Puerto de Santa María (El),210632.968341512,4058943.0030141
Benaoján,298027.244843031,4064118.563113
Coín,341895.534523696,4060066.06086332
Gualchos,465113.380275777,4065800.57156451
Benaocaz,280933.833285673,4065924.19262182
Totalán,384802.373180963,4069284.72400371
Alozaina,334037.05716101,4066729.6772267
Montejaque,295709.47702895,4067027.67319399
Yunquera,326812.076741544,4067121.27749134
Algarrobo,406693.767252802,4069122.66266761
Motril,456821.536567294,4066542.35255269
Moclinejo,387595.958647729,4070042.575363
Macharaviaya,390802.095874967,4070183.03175779
Iznate,393521.351716078,4071669.64251904
Balanegra,505975.077128539,4070093.85171529
Benamocarra,395658.166533333,4071623.96656667
Rota,200250.752830697,4063452.57622112
Salobreña,447945.043925449,4068742.87575742
Pizarra,347598.564269357,4070382.85917041
Mojonera (La),527553.78207297,4069904.41200487
Torrox,414811.875534031,4069112.03829487
Cártama,353702.92754861,4066865.31559226
Bosque (El),275807.334287696,4070260.79869456
Molvízar,446398.211792778,4071807.10734691
Polopos,473096.136702806,4070098.90585457
Rubite,470037.369141066,4070480.17937349
Lújar,465865.931743192,4070733.9662068
Adra,495424.063470986,4069731.95934876
Almuñécar,435563.98157611,4069424.72886873
Jete,441049.834196299,4072778.06275232
Ejido (El),519375.653709723,4066968.40438306
Ítrabo,443047.266162206,4071524.8974145
Almáchar,391535.182739619,4073903.75397913
Sorvilán,476693.246853127,4071443.82349262
Arriate,309476.127966667,4074618.72503333
Sayalonga,409727.45184961,4072371.06940541
Albuñol,483313.901156404,4070591.42588577
Borge (El),387632.451252034,4073966.10332595
Grazalema,286599.498374126,4072220.35326712
Arenas,405728.75577241,4074615.15713989
Nerja,425872.809044687,4071264.81121724
Frigiliana,420233.160990815,4073866.57270271
Árchez,410990.3726,4075241.20803333
Roquetas de Mar,534252.006817003,4070301.4889093
Prado del Rey,272676.520783116,4073895.3691966
Vélez-Málaga,397922.613536189,4070338.3597205398
Casarabonela,337523.926314266,4073714.83393316
Vícar,530313.149088669,4074185.6166754
Lentegí,438797.557298613,4077764.09826753
Vélez de Benaudalla,456273.194277397,4075148.74869986
Cómpeta,417638.889894776,4076851.12956131
Albondón,481436.439543847,4077512.50585294
Carratraca,337480.39139756,4079114.06081244
Arcos de la Frontera,254138.141478943,4070021.21726726
Benamargosa,393136.623608007,4078114.05697595
Zahara,281702.360559363,4078832.37986434
Otívar,433565.300812154,4077273.3887824
Turón,492566.457032651,4077708.87149048
Torvizcón,474818.120385171,4078783.97426806
Salares,409473.828633464,4079514.55628061
Montecorto,295330.825311657,4077304.89533338
Comares,388028.203796221,4079531.45657508
Canillas de Albaida,413211.988573001,4079680.77381128
Burgo (El),325809.645220812,4074930.88170837
Gastor (El),290883.106666125,4080466.06323297
Guájares (Los),446232.012092289,4078573.74806756
Málaga (capital),372911.37980283,4069955.92048029
Jerez de la Frontera,234847.870123879,4063681.0411627
Huércal de Almería,547524.860451247,4082437.71988539
Viñuela,396474.556983275,4080712.31985544
Cútar,390624.669429084,4080879.34805831
Sedella,406919.801401577,4080412.52080101
Canillas de Aceituno,402518.424339832,4081249.41080588
Serrato,322417.170418592,4081344.7123102
Almogía,361968.790540724,4078415.85032738
Cuevas del Becerro,317080.971305528,4082701.6960462
Berja,503025.097734487,4078772.88294377
Enix,535944.882862569,4081153.26353354
Dalías,515832.726392187,4078253.48871867
Casabermeja,372619.753914045,4082745.79840739
Felix,526808.554217683,4081287.77241199
Viator,553277.625786845,4083253.94668663
Cuervo de Sevilla (El),231418.482874805,4083898.92551416
Murtas,488338.099773591,4079953.89700801
Órgiva,464482.361312981,4079905.51934614
Terque,531733.185505452,4086024.11974209
Bornos,258138.029452198,4081705.31067765
Carataunas,464860.098734225,4086176.03305047
Pinar (El),451562.695719622,4083195.57856228
Ronda,309989.739582594,4072430.02119567
Álora,348615.459620995,4080391.95144324
Almegíjar,474429.32007513,4084263.75942657
Benahadux,546829.101771408,4085544.10033705
Setenil de las Bodegas,305989.911390382,4082733.14915863
Bentarique,528719.373889703,4087565.94698851
Sanlúcar de Barrameda,204828.441226421,4078309.8958388
Lobras,481100.426525683,4085182.08079341
Trebujena,213176.180714515,4085359.40421619
Torre Alháquime,300944.121304925,4087181.38690023
Alcaucín,400414.280702963,4086184.73980515
Espera,250513.003064763,4084981.14885887
Játar,418289.219580066,4088190.91740106
Algodonales,283239.610840927,4085501.61040643
Valle (El),446948.612613265,4086567.13827882
Cástaras,478312.446903345,4085730.56035907
Riogordo,385943.525470213,4087053.09215573
Valle de Abdalajís,350975.487824769,4089317.5762071
Cádiar,485107.579566798,4087130.40798906
Alicún,535121.410726947,4089143.81428292
Alcalá del Valle,308574.224558798,4088334.28256697
Taha (La),470140.974046632,4086583.72474514
Huécija,533070.268048134,4089233.84582073
Alhama de Almería,537867.340658543,4089100.2823223
Lecrín,452826.415057399,4089447.36276124
Villanueva de la Concepción,364146.050630691,4087972.14425243
Periana,393576.349016299,4087806.34425747
Colmenar,381472.328296337,4086417.78473156
Pechina,553306.012137517,4088683.76356982
Busquístar,475310.441812905,4090443.10989783
Ugíjar,493400.582442023,4088801.5130972
Juviles,479386.674220856,4090735.95121697
Alfarnatejo,387601.79103371,4091769.33651062
Jayena,429304.261813311,4088433.10637657
Alcolea,500853.102144669,4088268.24348971
Albuñuelas,438759.785049279,4087199.57281102
Villamena,446198.139484899,4092432.00552183
Almería (capital),558843.10289515,4081293.91856819
Villamartín,266723.815357372,4083918.16571135
Almócita,517571.676229434,4090836.75876895
Rioja,549920.625436718,4091794.55241261
Pórtugos,472894.213255013,4091986.62410743
Soportújar,464519.772324509,4089738.98099852
Pampaneira,466183.258817315,4091173.27821709
Cáñar,462036.579373824,4090321.51887646
Alhabia,538972.16793864,4094218.11592252
Padules,520398.277926408,4091154.39637291
Nigüelas,455243.773433896,4094098.63240891
Níjar,577977.309192169,4083100.44763656
Íllar,531411.803955846,4092743.96193799
Arenas del Rey,422207.002292872,4089858.14716664
Alfarnate,389104.442359493,4094731.09736716
Zafarraya,396726.233599143,4094573.30216811
Instinción,527922.750125473,4091455.3433178
Bubión,466000.58415576,4095964.46847335
Lanjarón,458527.932409951,4089231.64757676
Alsodux,538268.889686339,4097028.25919693
Agrón,427066.373653554,4096564.16084619
Santa Fe de Mondújar,542457.225613774,4094331.32011663
Villanueva del Rosario,378270.152864069,4096687.25974124
Dúrcal,454542.204590634,4097453.78470536
Padul,440425.542306567,4096636.03868029
Carboneras,594367.524870696,4095975.30665528
Capileira,469341.624554923,4096583.04036255
Olvera,296786.507538172,4091870.95278314
Gádor,543914.116378657,4090100.89903714
Algámitas,308141.038327081,4099206.5761417
Coripe,285820.925891337,4096078.12701542
Turrillas,565595.799146435,4098125.52647924
Santa Cruz de Marchena,537309.787914823,4099097.69164885
Rágol,527350.275561473,4094846.68176754
Puerto Serrano,279549.850993479,4095190.48239371
Almargen,320551.613141529,4099373.29151363
Ardales,335398.615175895,4084503.39233849
Pruna,301388.948830476,4098029.77473868
Fondón,512960.66371943,4092040.23786489
Beires,517061.314353933,4099642.78832785
Canjáyar,523600.165830089,4094108.81204365
Villanueva del Trabuco,382611.356019898,4100162.53605083
Santa Cruz del Comercio,413482.404472682,4102359.70188351
Dílar,453882.675587489,4101913.62107475
Escúzar,430988.366338325,4100791.65518627
Bérchules,482469.532037618,4097635.08773564
Ohanes,521216.74195369,4101865.20162772
Alpujarra de la Sierra,487277.918253894,4097337.4438373
Paterna del Río,504454.982008949,4100151.73326494
Láujar de Andarax,508623.843550639,4095992.18670748
Válor,491548.9179547,4097522.01681166
Montellano,273390.127481179,4098283.94347126
Villa de Otura,441971.367626812,4103159.76232707
Ventas de Huelma,425459.174716508,4102397.42924746
Alboloduy,532888.754761789,4102033.73531653
Nevada,496582.50893589,4099183.19966817
Trevélez,476900.41313862,4100487.99886874
Lebrija,227498.446782715,4092508.14092476
Bayárcal,500385.254203196,4100995.15468832
Cabezas de San Juan (Las),239366.562850227,4097589.1288414
Gójar,447500.010683978,4105717.13790417
Malahá (La),434716.317223857,4106024.15592075
Campillos,334245.892803109,4100073.02288097
Lucainena de las Torres,575202.814951301,4099895.47179153
Alhendín,438211.765494284,4102924.59792652
Ogíjares,445461.9207295,4108774.3432259
Zubia (La),449233.671283399,4107439.17311555
Coronil (El),266913.935122294,4100947.18115037
Villanueva de San Juan,305278.856047064,4105347.40599141
Cájar,449488.000366667,4109824.32623333
Monachil,457689.263203072,4106688.83586313
Saucejo (El),313904.467035712,4105167.00913834
Tabernas,556510.697699489,4102846.10181863
Alhama de Granada,410772.124349802,4094379.09419874
Cacín,418719.193731746,4103919.08373196
Huétor Vega,449943.387317831,4111388.96891903
Gabias (Las),438026.401693704,4109788.40616439
Armilla,444673.834974529,4111079.49655688
Chimeneas,425168.196961928,4108884.71780478
Churriana de la Vega,442869.448339924,4111660.55456519
Cúllar Vega,440139.952633333,4112499.71106667
Cenes de la Vega,452384.667562808,4112247.244629
Archidona,376393.179213902,4107435.0680688
Pinos Genil,455476.834373804,4112805.69361769
Salar,407701.313511207,4110676.08445256
Vegas del Genil,438531.608378564,4113925.18166969
Corrales (Los),321280.766930553,4109182.44165153
Martín de la Jara,326336.600573074,4111620.19895927
Turre,594340.770094531,4107015.43981667
Mojácar,600817.136089045,4108370.16287143
Fuente de Piedra,344085.531161043,4110007.68794251
Dúdar,456507.159093273,4115754.24399284
Cijuela,426899.378164915,4114892.53773503
Gallardos (Los),593446.887376264,4113314.5991646
Láchar,425025.132593017,4115826.29670498
Chauchina,430087.030037871,4115381.77328873
Humilladero,349691.038419228,4111247.68404106
Aldeire,492682.464765927,4110045.56809347
Mollina,353414.391605593,4112501.24339223
Garrucha,604130.086,4115705.5035
Sierra de Yeguas,335127.920185561,4112613.21940077
Olula de Castro,545489.90511813,4114311.82249389
Nacimiento,530236.41130254,4110356.68168728
Castro de Filabres,548856.792364001,4114846.28151391
Uleila del Campo,572067.677390497,4114894.23699
Molares (Los),261843.126349067,4116132.81749559
Sorbas,580812.383034025,4106445.37082971
Villanueva de Tapia,380947.733262826,4115752.65315708
Moraleda de Zafayona,415407.258628732,4115222.82923432
Maracena,443188.913547507,4118667.5221091
Santa Fe,434219.299366583,4115143.68231788
Alquife,490223.2612966,4115465.45606807
Granada (capital),447552.616172979,4115582.79257373
Jun,447994.183041147,4119233.75277737
Dólar,500369.531859188,4113201.98225167
Bédar,589272.504052502,4114810.5051629
Güéjar Sierra,468145.946114601,4111050.93138634
Jérez del Marquesado,482659.986589274,4111935.55354784
Ferreira,497270.653371568,4113890.71108814
Tres Villas (Las),524741.682201871,4112430.9086951
Abrucena,515574.21764774,4109437.89833552
Benizalón,569196.311823642,4117713.59529339
Antequera,359136.406680163,4100192.44011534
Isla Mayor,217469.921674451,4111541.99336375
Lanteira,487656.564956505,4110970.15605379
Huétor Tájar,407362.68516011,4117227.01789188
Pulianas,445972.869871239,4120126.05675034
Fuente Vaqueros,430431.527754549,4119469.60696241
Abla,520666.667026118,4113037.17746052
Villanueva de Algaidas,374210.343596934,4116806.50455155
Palacios y Villafranca (Los),240656.81115291,4115810.33233005
Gérgal,539223.254323812,4111706.59440205
Villanueva Mesía,410696.370369371,4120813.2124211
Benitagla,568604.9406,4121263.555
Valderrubio,427045.1681,4121207.8145111
Lugros,478032.688770075,4117649.919202
Morón de la Frontera,284292.893545387,4110325.96341632
Senés,559109.703948527,4115991.99047402
Albuñán,487561.941652159,4120935.86142569
Polícar,478660.625333333,4123056.70066667
Huéneja,505799.247927831,4115822.4245167
Víznar,452573.539543591,4121453.88831271
Pedrera,331757.882322778,4119188.71971774
Cuevas Bajas,369585.955265319,4121073.56492171
Peligros,444004.976562135,4121814.81600212
Velefique,553369.96619984,4116929.6616189
Cogollos de Guadix,484243.374804995,4120606.35247011
Alameda,352060.929455056,4121424.15421524
Alcudia de Monteagud,566163.793035663,4121222.28041551
Vera,601631.058865442,4120171.06723496
Calahorra (La),495978.63628624,4119730.02373411
Beas de Granada,458731.544990329,4121160.006256
Alfacar,450685.214364087,4122453.52991711
Tahal,563412.634986812,4116516.94170976
Güevéjar,446606.326531597,4123672.62047626
Zagra,395853.934418154,4123825.51548922
Fiñana,512572.327388633,4115684.47618599
Cóbdar,572296.856678171,4122655.51503838
Nívar,451004.228364358,4124620.18127036
Roda de Andalucía (La),342604.124252331,4119525.87477607
Aguadulce,324394.338249143,4124429.64053391
Quéntar,463355.199579768,4120738.31655915
Puebla de Cazalla (La),298072.209929396,4115228.55736286
Utrera,251501.273544552,4107300.50750087
Chercos,564728.354440663,4124436.58646011
Palenciana,358943.563540486,4123578.97569965
Cuevas de San Marcos,373716.698520431,4123889.97923987
Gilena,328061.171704431,4122403.70069845
Beas de Guadix,481232.576189416,4125381.22121258
Bacares,546206.440203713,4122804.8996778
Loja,394761.403376042,4112708.53590362
Lubrín,582534.318313851,4120710.47949211
Benamejí,363425.55882996,4123429.84019176
Calicasas,444361.985210457,4125987.08593418
Arahal,271566.880420445,4120179.54462882
Atarfe,437292.440087849,4123332.84826443
Antas,592891.302395639,4123592.22382727
Pinos Puente,427779.869433062,4121442.64285908
Lora de Estepa,338877.981763677,4126216.59636884
Palos de la Frontera,154550.545647289,4123409.02478528
Marchal,482774.038444873,4128263.90164982
Encinas Reales,369135.705774595,4126632.57162912
Albanchez,574238.28888793,4126910.26844699
Villamanrique de la Condesa,205715.354983457,4125381.06562619
Líjar,568200.909857267,4127502.63208739
Valle del Zalabí,500041.763249041,4126361.39796645
Cogollos de la Vega,450309.763608264,4127981.93648176
Punta Umbría,143376.831512563,4126602.54984366
Laroya,558209.685179664,4127067.79812429
Cortes y Graena,479182.82224632,4128288.66311646
Sierro,553845.566525187,4127793.26660443
Bayarque,549040.184229537,4129929.25194026
Isla Cristina,119556.157609515,4128640.66103679
Puebla del Río (La),220568.07456909,4111541.42098247
Coria del Río,230860.331367682,4126141.32300513
Iznájar,384000.151742677,4125303.67207487
Macael,562582.024103232,4129443.02779274
Suflí,555191.239030256,4130346.88463043
Casariche,344607.076906067,4129173.46411113
Peza (La),472668.305872381,4125753.21962591
Huétor de Santillán,459903.622903404,4127569.44340597
Algarinejo,394572.420647781,4128776.04232434
Almensilla,224553.873111363,4133286.92632404
Diezma,468722.758338557,4130936.53817277
Badolatosa,349941.025772038,4128986.94208714
Palomares del Río,229092.013019673,4133737.17508179
Aznalcázar,208289.829644373,4111913.20940192
Moguer,162054.691223062,4124956.5831334
Armuña de Almanzora,551739.371921631,4134381.80319982
Aljaraque,143466.799839744,4133726.8625783
Benalúa,485570.130968977,4134391.77597456
Almonte,185983.92217693,4111794.96991097
Purchena,556833.286422304,4133635.26209664
Estepa,332476.718004862,4129663.46094723
Lucena del Puerto,168528.42403928,4128934.68653599
Rubio (El),322150.108699923,4135808.29689216
Cantoria,572352.951115549,4133296.28387179
Gelves,232282.944820171,4135731.42919194
Íllora,420373.008592027,4126564.70449047
Deifontes,447307.93032959,4133049.22875083
Pilas,206248.501862731,4133942.29699068
Mairena del Aljarafe,228175.254668428,4136552.42710294
Purullena,481341.013201573,4134300.08265364
Darro,474700.233222323,4135438.62654348
Albolote,441602.506037205,4129296.74021293
Rociana del Condado,179347.662184368,4133328.29616195
Bonares,172876.828332185,4132188.5357369
Lantejuela,303335.753453065,4137299.21106221
Montefrío,408636.683815117,4132273.76902606
Alcóntar,533260.441401534,4129639.44905797
Osuna,311691.19991617,4124910.76227007
Fines,564839.985860323,4135719.78896596
Bollullos Par del Condado,186797.599441446,4137269.0961952
Bollullos de la Mitación,220515.469107459,4134650.23968144
San Juan de Aznalfarache,231315.053581249,4139299.45712766
Urrácal,557597.188091274,4138704.02836858
Tomares,230274.609365683,4140597.87417149
Carrión de los Céspedes,204387.795533333,4141114.14596667
Hinojos,198001.004615176,4119066.64687187
Marinaleda,327750.593256053,4137794.84567101
Alcalá de Guadaíra,251249.361010093,4130755.01255704
Olula del Río,561693.21613909,4137234.04555139
Bormujos,226934.223532523,4139599.86057029
Rute,378666.974514231,4134484.90817312
Cuevas del Almanzora,605024.431338012,4131370.99274058
Benacazón,214995.493870088,4137145.59151736
Umbrete,219243.610803684,4140672.08643579
Mairena del Alcor,257342.70581384,4136878.33847051
Villablanca,116120.182362211,4137921.97344681
Huelva (capital),151505.287179932,4132737.70647437
Castilleja de la Cuesta,229301.323490535,4141885.03591357
Gines,227652.463176906,4142136.57790182
Chucena,199228.873280966,4139515.28049279
Zurgena,585759.593759325,4135154.21692532
Moclín,429626.140350682,4134687.71560242
Viso del Alcor (El),260020.993696521,4141085.04275807
Herrera,334766.899987196,4138482.3589243
Huévar del Aljarafe,207763.126755508,4139779.31255403
