Municipio,x,y
Fuente Vaqueros,430607,4119474
Galaroza,174049,4204162
Cárcheles,443506,4165752
Moraleda de Zafayona,414316,4114065
Alfarnate,387922,4094987
Blázquez (Los),287031,4253798
Garrucha,604494,4115765
Víznar,450895,4120843
Beas de Guadix,481748,4125935
Marines (Los),181556,4201287
Pedro Abad,372187,4203274
Yunquera,328504,4067148
Puebla de Guzmán,124973,4171438
Tomares,230440,4140750
Lecrín,450833,4089198
Larva,482202,4179212
Lopera,393302,4200539
Campillo (El),179997,4178036
Alanís,261924,4213511
Mairena del Alcor,256567,4139899
Canillas de Albaida,412109,4078223
Iznalloz,453403,4138539
San Sebastián de los Ballesteros,339153,4168919
Sorihuela del Guadalimar,495274,4232619
Murtas,490266,4082294
Huércal de Almería,549954,4082237
Cartajima,307419,4057767
Coripe,282784,4094655
Arroyomolinos de León,199622,4214062
Castillo de las Guardas (El),207680,4177005
Algodonales,285764,4084347
Cogollos de Guadix,485758,4119812
Salar,405353,4112042
Purchena,556637,4133499
Alcalá de los Gazules,255861,4038601
Carlota (La),329418,4170763
Guaro,336006,4058348
Garrobo (El),220018,4169015
Segura de la Sierra,530468,4238954
Almuñécar,437786,4065767
Carmona,265807,4150505
Alpandeire,303097,4056529
Macharaviaya,391638,4069211
Arjona,406985,4199250
Jérez del Marquesado,485852,4115321
Moriles,357697,4144513
Alhaurín de la Torre,360168,4058341
Bayárcal,500381,4098248
Sevilla (capital),237881,4141973
Algar,262625,4060127
Domingo Pérez de Granada,455013,4150115
Noalejo,442217,4153798
Albuñán,488085,4120095
Pozo Alcón,505784,4172839
Píñar,461092,4144113
Línea de la Concepción (La),288640,4005137
Peñaflor,293237,4176184
Lora de Estepa,338053,4126331
Tres Villas (Las),525565,4109920
Lora del Río,277086,4170827
Hinojos,200300,4132553
Ronquillo (El),220042,4180209
Nerva,187219,4177893
Guadalcázar,328827,4180685
Mojonera (La),528267,4067520
Huévar del Aljarafe,209580,4139342
Colmenar,380668,4085222
Vilches,455154,4229165
Armuña de Almanzora,552042,4133848
Encinas Reales,368032,4126341
Minas de Riotinto,182989,4177910
Sedella,407818,4080081
Rincón de la Victoria,385575,4064443
Bentarique,533849,4093508
Bujalance,378709,4194877
Montizón,490956,4243820
Frailes,425962,4149229
Lújar,463961,4071333
Olula de Castro,546570,4114389
Camas,231422,4143556
Pampaneira,467880,4088316
Aguadulce,323434,4124867
Marchal,482016,4127824
Navas de San Juan,472394,4226251
Benadalid,297073,4053623
Umbrete,220209,4140490
Vélez-Rubio,581469,4167314
Villanueva de las Cruces,144846,4172170
Santaella,337155,4158786
Jayena,426791,4089547
Chucena,199478,4140571
Benizalón,567295,4118655
Albolote,442308,4120481
Pizarra,347530,4070193
Dílar,446653,4103145
Montejaque,299070,4067968
Otívar,439391,4074620
Almargen,319933,4097089
Cómpeta,413242,4076817
Faraján,304355,4054543
Cazalla de la Sierra,257518,4202057
Arenas del Rey,420449,4090607
Cóbdar,569998,4124179
Alpujarra de la Sierra,486125,4092920
Puerto de Santa María (El),211084,4055221
Padules,520069,4094751
