iso3c,region_id,country_name,income_id,gdp,population_population_number_of_people,total_msw_total_msw_generated_tons_year,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_is_this_data_measured
ABW,LCN,Aruba,HIC,35563.3125,103187,88132.0167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,89,NA,NA
AFG,SAS,Afghanistan,LIC,2057.062255859375,34656032,5628525.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other
AGO,SSF,Angola,LMC,8036.6904296875,25096150,4213643.585,51.8,6.7,4.4,11.5,11.9,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALB,ECS,Albania,UMC,13724.05859375,2854191,1087446.75,51.4,4.5,4.8,15.21,9.9,9.6,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some disposal sites
AND,ECS,Andorra,HIC,43711.80078125,82431,43000,31.2,8.2,2.6,11.6,35.1,11.3,NA,NA,NA,NA,NA,NA,52.1,NA,NA,NA,NA,NA,47.9,NA,NA
ARE,MEA,United Arab Emirates,HIC,67119.1328125,9770529,5617682,39,4,3,10,25,19,NA,NA,NA,NA,9,NA,NA,9,62,NA,20,NA,NA,NA,NA
ARG,LCN,Argentina,HIC,23550.099609375,42981516,17910550,38.74,3.16,1.84,15.36,13.96,14.61,1.26,1.09,9.95,NA,NA,8.9,NA,NA,22.6,NA,6,62.5,NA,NA,Other
ARM,ECS,Armenia,UMC,11019.8388671875,2906220,492800,57,3.2,3.4,17.4,6.7,11.4,0.3,0.6,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,Other
ASM,EAS,American Samoa,UMC,11113.4423828125,55599,18989.49,19.7,3.4,7.9,25.6,26.4,12.8,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATG,LCN,Antigua and Barbuda,HIC,17965.501953125,96777,30585,46,7,7,12,15,13,NA,NA,NA,NA,0.08,98.68,NA,NA,NA,NA,NA,NA,1.14,0.1,Disposal Site
AUS,EAS,Australia,HIC,47784.1796875,23789338,13345000,48.44,3.81,19.38,3.46,17.3,7.61,NA,NA,NA,NA,NA,NA,9.77,48.87,NA,NA,42.1,NA,NA,NA,NA
AUT,ECS,Austria,HIC,56029.61328125,8877067,5219715.5,31.4,7,4.4,18.5,19.7,11.1,NA,7.9,NA,NA,31.24,NA,37.9,2.98,NA,NA,25.66,NA,2.22,NA,NA
AZE,ECS,Azerbaijan,UMC,14853.91015625,9649341,2930349,45.19,5.28,3.49,13.73,10.93,7.87,3.09,NA,10.42,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,Various
BDI,SSF,Burundi,LIC,839.77850341796875,6741569,1872016,81,2.9,2.1,3.2,7.3,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEL,ECS,Belgium,HIC,51914.9140625,11484055,4765883,14.18,3.1,1.91,40.14,18.38,13.94,NA,2.37,5.84,NA,19.137,NA,43.39,0.91,NA,NA,34.303,NA,2.26,NA,NA
BEN,SSF,Benin,LIC,2227.352294921875,5521763,685936.01,52.1,1.6,1.6,34.3,3.1,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,75,NA,NA
BFA,SSF,Burkina Faso,LIC,1925.3311767578125,18110624,2575251.11,21,1,1,61,7,9,NA,NA,NA,NA,NA,NA,NA,17,59,NA,12,NA,12,NA,NA
BGD,SAS,Bangladesh,LMC,3195.737060546875,155727056,14778497.33,80.57999999999998,0.44,0.5,8.59,3.04,4.67,1.08,NA,1.1,NA,5.25,NA,NA,NA,NA,NA,NA,NA,94.75,NA,Source
BGR,ECS,Bulgaria,UMC,22279.361328125,7025037,2859190,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,NA,10.32,NA,2.75,66.22,NA,NA,19.03,NA,1.68,NA,Other
BHR,MEA,Bahrain,HIC,47937.77734375,1425171,951942.96945,59.1,3.4,2.1,15.2,12.8,7.4,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,8,NA,NA,NA,Disposal Site
BHS,LCN,"Bahamas, The",HIC,35400.08203125,386838,264000,46,7,7,12,15,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIH,ECS,Bosnia and Herzegovina,UMC,12671.0078125,3535961,1248718,NA,NA,NA,92.7,4.9,NA,NA,NA,2.4,NA,NA,8.55,NA,NA,41.75,0.025,9.7e-4,24.12,25.554029999999997,NA,Other
BLR,ECS,Belarus,UMC,18307.51953125,9489616,4280000,30,8,2,35,5,12,6,2,NA,NA,NA,76.9,NA,NA,7.1,NA,16,NA,NA,NA,At the disposal sites and at the waste generation source
BLZ,LCN,Belize,UMC,7259.0244140625,359288,101378.83030000002,47,8,5,5,16,19,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,34,NA,NA,NA
