Provincia,Municipio,Poblacion,Casos,Fallecidos
Cádiz,Algeciras,123078,11945,264
Cádiz,Barbate,22556,2369,27
Cádiz,Tarifa,18183,1542,30
Cádiz,San Roque,31571,3000,50
Cádiz,Barrios (Los),23777,2164,80
Cádiz,Conil de la Frontera,22775,2243,10
Cádiz,Castellar de la Frontera,3057,300,4
Cádiz,Benalup-Casas Viejas,6986,664,6
Málaga,Manilva,16439,1540,22
Cádiz,Vejer de la Frontera,12622,1051,10
Cádiz,Chiclana de la Frontera,85150,6987,77
Málaga,Casares,6883,410,12
Cádiz,San Fernando,95001,8222,110
Málaga,Estepona,70228,7239,60
Cádiz,Jimena de la Frontera,6707,548,11
Málaga,Marbella,147633,18746,233
Cádiz,Medina Sidonia,11773,793,1
Cádiz,Paterna de Rivera,5453,541,8
Málaga,Gaucín,1589,181,3
Málaga,Genalguacil,393,23,0
Cádiz,Alcalá de los Gazules,5226,377,3
Cádiz,Cádiz (capital),115439,8895,96
Málaga,Benarrabá,446,19,1
Málaga,Fuengirola,82837,6714,71
Málaga,Algatocín,814,74,2
Málaga,Jubrique,523,33,0
Málaga,Ojén,3816,352,1
Málaga,Benalauría,438,16,0
Málaga,Benalmádena,69144,6078,76
Málaga,Mijas,85397,7205,55
Cádiz,Puerto Real,41700,3001,26
Málaga,Pujerra,308,4,0
Málaga,Benadalid,233,3,0
Málaga,Benahavís,7748,486,4
Málaga,Torremolinos,69166,5618,41
Málaga,Faraján,261,40,1
Málaga,Monda,2697,274,4
Málaga,Istán,1494,131,0
Málaga,Igualeja,752,47,3
Málaga,Atajate,169,0,0
Málaga,Júzcar,214,9,0
Málaga,Cortes de la Frontera,3065,227,3
Málaga,Jimera de Líbar,379,24,0
Málaga,Cartajima,242,15,0
Málaga,Parauta,239,8,0
Málaga,Alhaurín el Grande,25358,2339,23
Cádiz,Algar,1428,177,1
Cádiz,San José del Valle,4433,404,7
Málaga,Alpandeire,263,18,1
Málaga,Guaro,2280,190,22
Cádiz,Ubrique,16605,1496,21
Málaga,Alhaurín de la Torre,41170,3975,40
Málaga,Tolox,2136,126,2
Cádiz,Villaluenga del Rosario,455,26,0
Cádiz,Puerto de Santa María (El),88703,7132,43
Málaga,Benaoján,1453,133,1
Málaga,Coín,22673,2390,25
Granada,Gualchos,5190,463,7
Cádiz,Benaocaz,673,45,0
Málaga,Totalán,737,27,0
Málaga,Alozaina,2061,140,5
Málaga,Montejaque,949,117,5
Málaga,Yunquera,2869,220,7
Málaga,Algarrobo,6556,446,4
Granada,Motril,58460,4618,51
Málaga,Moclinejo,1251,114,2
Málaga,Macharaviaya,513,9,0
Málaga,Iznate,907,27,0
Almería,Balanegra,3105,292,1
Málaga,Benamocarra,3046,167,2
Cádiz,Rota,29282,1838,14
Granada,Salobreña,12513,679,6
Málaga,Pizarra,9444,854,5
Almería,Mojonera (La),9191,897,7
Málaga,Torrox,17943,752,9
Málaga,Cártama,26738,2382,19
Cádiz,Bosque (El),2137,181,3
Granada,Molvízar,2772,164,1
Granada,Polopos,1722,77,2
Granada,Rubite,382,8,0
Granada,Lújar,483,17,0
Almería,Adra,25412,2649,47
Granada,Almuñécar,25927,1604,14
Granada,Jete,927,18,0
Almería,Ejido (El),83758,8019,88
Granada,Ítrabo,991,39,0
Málaga,Almáchar,1817,173,5
Granada,Sorvilán,527,40,0
Málaga,Arriate,4082,415,8
Málaga,Sayalonga,1568,101,3
Granada,Albuñol,7353,609,7
Málaga,Borge (El),922,81,1
Cádiz,Grazalema,2013,217,4
Málaga,Arenas,1177,48,1
Málaga,Nerja,21144,1197,14
Málaga,Frigiliana,3062,117,1
Málaga,Árchez,385,20,0
Almería,Roquetas de Mar,98433,7990,85
Cádiz,Prado del Rey,5590,517,7
Málaga,Vélez-Málaga,82365,6682,106
Málaga,Casarabonela,2514,129,3
Almería,Vícar,26899,2378,34
Granada,Lentegí,333,18,0
Granada,Vélez de Benaudalla,2890,174,1
Málaga,Cómpeta,3967,147,2
Granada,Albondón,712,20,1
Málaga,Carratraca,740,34,0
Cádiz,Arcos de la Frontera,30818,3308,42
Málaga,Benamargosa,1535,53,0
